"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 20:25:32,FALSE,NA,"894293384495415296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frenchrh",41,TRUE,FALSE,NA,NA
"So very impressed with #googlehome and it's voice recognition - handles multiple dialects, lisps, etc. Now to integrate it with #rstats",FALSE,0,NA,2017-08-06 20:25:15,FALSE,NA,"894293311766151168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","peeyooshchandra",0,FALSE,FALSE,NA,NA
"RT @DataCamp: Get started with the #Jupyter and #Rstats Notebooks with this tutorial - https://t.co/meYB3fQAic #DataScience https://t.co/PO…",FALSE,0,NA,2017-08-06 20:20:58,FALSE,NA,"894292236111941632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheresaWege",6,TRUE,FALSE,NA,NA
"When I get corporate-induced analytics frustration, I listen to the @NSSDeviations episode ""We Listen to our Data Team"". #heavyFeels #rstats",FALSE,0,NA,2017-08-06 20:20:35,FALSE,NA,"894292137516433408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","data_lulz",0,FALSE,FALSE,NA,NA
"RT @Rbloggers: Clustering with FactoMineR https://t.co/tmzIq51vm3 #rstats #DataScience",FALSE,0,NA,2017-08-06 20:15:17,FALSE,NA,"894290804793069569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DataDatastat",38,TRUE,FALSE,NA,NA
"RT @thomasp85: Things are aligning at last... #fiery #routr #rstats https://t.co/6lJABuglST",FALSE,0,NA,2017-08-06 20:12:16,FALSE,NA,"894290046039318528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DevinPastoor",1,TRUE,FALSE,NA,NA
"RT @gp_pulipaka: Deep learning with H20. #BigData #DeepLearning #MachineLearning #DataScience #AI #RStats #RLang #H20 https://t.co/GhbQvWua…",FALSE,0,NA,2017-08-06 20:04:47,FALSE,NA,"894288160003325952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andysingal",7,TRUE,FALSE,NA,NA
"RT @Rbloggers: Can we believe in the imputations? https://t.co/GF6PlLfcfp #rstats #DataScience",FALSE,0,NA,2017-08-06 20:03:53,FALSE,NA,"894287933997543427",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","olichka30",30,TRUE,FALSE,NA,NA
"Things are aligning at last... #fiery #routr #rstats https://t.co/6lJABuglST",FALSE,3,NA,2017-08-06 20:00:43,FALSE,NA,"894287136463171584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thomasp85",1,FALSE,FALSE,NA,NA
"RT @jakub_nowosad: We wrote a short history of spatial capabilities in R - https://t.co/011PdJxwH1.  Comments/PRs welcome! #rstats #geocomp…",FALSE,0,NA,2017-08-06 19:59:25,FALSE,NA,"894286813250035712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MarceMiraval",7,TRUE,FALSE,NA,NA
"RT @bhaskar_vk: Sneak peek of upcoming #SpatioTemporal #dataviz support in #leaflet.extras #rstats pkg. https://t.co/diOwGlBLeD",FALSE,0,NA,2017-08-06 19:55:07,FALSE,NA,"894285730096324610",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SeidenstickerD",14,TRUE,FALSE,NA,NA
"RT @gp_pulipaka: Deep learning with H20. #BigData #DeepLearning #MachineLearning #DataScience #AI #RStats #RLang #H20 https://t.co/GhbQvWua…",FALSE,0,NA,2017-08-06 19:53:40,FALSE,NA,"894285362838687744",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","DeepSingularity",7,TRUE,FALSE,NA,NA
"Open call: Anyone from #ESA2017 want to catch beer and talk ecology and #rstats at Ex Novo Brewing? Come and join if you want!",FALSE,0,NA,2017-08-06 19:50:05,FALSE,NA,"894284463248625664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NelsonStauffer",0,FALSE,FALSE,NA,NA
"Miss @NEON_sci times series #rstats workshop? Check out our work with #ecology #data resources https://t.co/gObT9dFeIx",FALSE,0,NA,2017-08-06 19:50:03,FALSE,NA,"894284455803850753",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Battelle",0,FALSE,FALSE,NA,NA
"RT @RubenRemelgado: Check out the development version of #RSmove at https://t.co/waKIZG80wr.  #rstats #biodiversity #remotesensing",FALSE,0,NA,2017-08-06 19:45:06,FALSE,NA,"894283206366724096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","schwalbwillmann",2,TRUE,FALSE,NA,NA
"RT @jakub_nowosad: We wrote a short history of spatial capabilities in R - https://t.co/011PdJxwH1.  Comments/PRs welcome! #rstats #geocomp…",FALSE,0,NA,2017-08-06 19:39:10,FALSE,NA,"894281715711127552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LWpaulbivand",7,TRUE,FALSE,NA,NA
"RT @gp_pulipaka: Deep learning with H20. #BigData #DeepLearning #MachineLearning #DataScience #AI #RStats #RLang #H20 https://t.co/GhbQvWua…",FALSE,0,NA,2017-08-06 19:33:12,FALSE,NA,"894280214376742912",NA,"<a href=""http://www.calcaware.com"" rel=""nofollow"">Calcaware</a>","calcaware",7,TRUE,FALSE,NA,NA
"That *is* what I need! Good error messages make coding easier #rstats https://t.co/qCGTW1gcvj",FALSE,2,NA,2017-08-06 19:27:13,FALSE,NA,"894278706537148416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","samfirke",0,FALSE,FALSE,NA,NA
"Turning RStudio into an Excel killer: direct cell manipulation in view(data) full screen mode. #rstudio #rstats #Excel #disruption",FALSE,1,NA,2017-08-06 19:22:18,FALSE,NA,"894277470932938752",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","ZhouBrock",0,FALSE,FALSE,NA,NA
"I wrote an #rstats package to estimate someone's age based on their first name! https://t.co/GnJ314QqSK",FALSE,1,NA,2017-08-06 19:18:10,FALSE,NA,"894276430409994240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andland",0,FALSE,FALSE,NA,NA
"RT @Rbloggers: Machine Learning Explained: supervised learning, unsupervised learning, and reinforcement https://t.co/pXLjhvDYfX #rstats #D…",FALSE,0,NA,2017-08-06 19:17:19,FALSE,NA,"894276215313485827",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KGBtips",66,TRUE,FALSE,NA,NA
"RT @jakub_nowosad: We wrote a short history of spatial capabilities in R - https://t.co/011PdJxwH1.  Comments/PRs welcome! #rstats #geocomp…",FALSE,0,NA,2017-08-06 19:16:52,FALSE,NA,"894276101471703042",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jhollist",7,TRUE,FALSE,NA,NA
"RT @ucfagls: If you couldn't make it to @noamross &amp; my #mgcv #rstats workshop at #ESA2017 yesterday, all the materials are here https://t.c…",FALSE,0,NA,2017-08-06 19:15:39,FALSE,NA,"894275798739365890",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","larysar",9,TRUE,FALSE,NA,NA
"@Squared2020 @CausalKathy Ooh and #rstats �� https://t.co/PrTdNpixS5",FALSE,0,"dataandme",2017-08-06 19:10:38,FALSE,"894274223853768705","894274532873306117","3230388598","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dataandme",0,FALSE,FALSE,NA,NA
"RT @dj_shaily: @gp_pulipaka: Deep learning with H20. #BigData #DeepLearning #MachineLearning #DataScience #AI #RStats #RLang #H20…",FALSE,0,NA,2017-08-06 19:10:22,FALSE,NA,"894274466489946112",NA,"<a href=""http://www.rajika.com"" rel=""nofollow"">Claire stream</a>","clairebotai",1,TRUE,FALSE,NA,NA
"@gp_pulipaka: Deep learning with H20. #BigData #DeepLearning #MachineLearning #DataScience #AI #RStats #RLang #H20…",FALSE,0,"gp_pulipaka",2017-08-06 19:10:21,FALSE,NA,"894274465294499841","4263007693","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","dj_shaily",1,FALSE,FALSE,NA,NA
"RT @jakub_nowosad: We wrote a short history of spatial capabilities in R - https://t.co/011PdJxwH1.  Comments/PRs welcome! #rstats #geocomp…",FALSE,0,NA,2017-08-06 19:06:58,FALSE,NA,"894273612374564864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ezbrooks",7,TRUE,FALSE,NA,NA
"Import, manipulate and plot time series #rstats #data? Learn how with @Battelle @NEON_sci WK 9 at #ESA2017 https://t.co/Am7FGWjtWB",FALSE,0,NA,2017-08-06 19:05:08,FALSE,NA,"894273149872857088",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Battelle",0,FALSE,FALSE,NA,NA
"RT @InstitCalculo: ¿Estás aprovechando el domingo para buscar #cursos de #DataScience con #rstats? ¡No busques más! En el #IC este cuatrime…",FALSE,0,NA,2017-08-06 19:03:52,FALSE,NA,"894272832116576258",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fabiana_Flores",7,TRUE,FALSE,NA,NA
"#rdata #rstats: R Data set: ex13.29 - https://t.co/bAOAU7pUkT",FALSE,0,NA,2017-08-06 19:03:25,FALSE,NA,"894272717247176708",NA,"<a href=""https://jsta.github.io"" rel=""nofollow"">rtweet_tokens25</a>","rstatsdata",0,FALSE,FALSE,NA,NA
"How to reshape #data as transactions in R? https://t.co/ulwFHVSbhA #rstats",FALSE,3,NA,2017-08-06 19:00:37,FALSE,NA,"894272015493980160",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","AnalyticsVidhya",0,FALSE,FALSE,NA,NA
"RT @jakub_nowosad: We wrote a short history of spatial capabilities in R - https://t.co/011PdJxwH1.  Comments/PRs welcome! #rstats #geocomp…",FALSE,0,NA,2017-08-06 18:57:06,FALSE,NA,"894271130177089536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","robinlovelace",7,TRUE,FALSE,NA,NA
"RT @gp_pulipaka: Deep learning with H20. #BigData #DeepLearning #MachineLearning #DataScience #AI #RStats #RLang #H20 https://t.co/GhbQvWua…",FALSE,0,NA,2017-08-06 18:54:02,FALSE,NA,"894270358689390597",NA,"<a href=""https://utar.co"" rel=""nofollow"">retweetbotutar</a>","UtarSystems",7,TRUE,FALSE,NA,NA
"RT @jakub_nowosad: We wrote a short history of spatial capabilities in R - https://t.co/011PdJxwH1.  Comments/PRs welcome! #rstats #geocomp…",FALSE,0,NA,2017-08-06 18:49:06,FALSE,NA,"894269117112438786",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marcbeldata",7,TRUE,FALSE,NA,NA
"R for Beginners --- IInd Video - https://t.co/p6TQAqKxzV #rstats",FALSE,0,NA,2017-08-06 18:48:34,FALSE,NA,"894268980453556224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DhankarRohit",0,FALSE,FALSE,NA,NA
"RT @dataandme: Little missMDA &amp; friends ��: ""Can we believe in the imputations?"" https://t.co/FZhCg8wVpY via @JulieJosseStat #rstats #datavi…",FALSE,0,NA,2017-08-06 18:47:39,FALSE,NA,"894268749775216640",NA,"<a href=""https://twitter.com/alevergara78"" rel=""nofollow"">realtimeApp_reactjs</a>","alevergara78",2,TRUE,FALSE,NA,NA
"R for Beginners #rstats [ VIDEO -2 ]: https://t.co/01z7SPy2hm via @YouTube",FALSE,0,NA,2017-08-06 18:46:40,FALSE,NA,"894268501656993792",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","DhankarRohit",0,FALSE,FALSE,NA,NA
"RT @dataandme: Little missMDA &amp; friends ��: ""Can we believe in the imputations?"" https://t.co/FZhCg8wVpY via @JulieJosseStat #rstats #datavi…",FALSE,0,NA,2017-08-06 18:46:32,FALSE,NA,"894268469096697856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","oaggimenez",2,TRUE,FALSE,NA,NA
"Little missMDA &amp; friends ��: ""Can we believe in the imputations?"" https://t.co/FZhCg8wVpY via @JulieJosseStat… https://t.co/jRltdmO4Rq",FALSE,4,NA,2017-08-06 18:46:03,TRUE,NA,"894268349311590405",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","dataandme",2,FALSE,FALSE,NA,NA
